InternshipID,Title,Organisation,Description,Sector,Subsector,City,State,Mode,Duration,EducationLevel,ExperienceLevel,RequiredSkills,Stipend,Language,ToolsUsed,Tags,LastDateToApply
INT001,Software Development Intern,TechCorp India,Build and maintain web applications using React and Node.js. Work on real product features shipped to thousands of users.,IT & Software,Web Development,Bangalore,Karnataka,Hybrid,2 Months,UG,Beginner,"python, javascript, react",8000,English,"git, vscode, jira",software development,2025-08-31
INT002,Data Analytics Intern,DataMinds Pvt Ltd,Analyze large datasets to extract business insights. Create dashboards using Tableau and Python.,Analytics,Data Science,Delhi,Delhi,Online,3 Months,UG,Beginner,"python, sql, excel, tableau",6000,English,"python, tableau, sql",data analytics,2025-09-15
INT003,Machine Learning Intern,AI Solutions Ltd,Implement ML models for product recommendation and demand forecasting.,IT & Software,Artificial Intelligence,Hyderabad,Telangana,Hybrid,3 Months,UG,Intermediate,"python, machine learning, scikit-learn, tensorflow",10000,English,"python, jupyter, git",machine learning,2025-08-15
INT004,Backend Development Intern,CloudBase Technologies,Develop RESTful APIs and microservices using Python FastAPI. Deploy on AWS.,IT & Software,Backend Development,Pune,Maharashtra,Online,2 Months,UG,Beginner,"python, fastapi, docker, sql",7000,English,"python, docker, postman",backend development,2025-09-01
INT005,Marketing Analytics Intern,GrowthHacker Co,Use data to drive marketing decisions. Build performance dashboards and run A/B tests.,Marketing,Digital Marketing,Mumbai,Maharashtra,Online,2 Months,UG,Beginner,"excel, google analytics, sql",5000,English,"excel, google analytics","marketing, analytics",2025-08-20
INT006,DevOps Intern,InfraCloud India,Automate CI/CD pipelines. Manage cloud infrastructure on AWS and GCP.,IT & Software,DevOps,Bangalore,Karnataka,Hybrid,3 Months,UG,Intermediate,"linux, docker, kubernetes, aws",9000,English,"jenkins, terraform, kubernetes",devops,2025-09-10
INT007,UI/UX Design Intern,DesignLab Studio,Design user interfaces for mobile and web products. Conduct user research and usability testing.,Design,Product Design,Chennai,Tamil Nadu,Online,2 Months,UG,Beginner,"figma, adobe xd, html, css",5500,English,"figma, illustrator","design, ux",2025-08-25
INT008,Content Writing Intern,MediaHub Publications,Create blog posts and technical documentation for B2B SaaS products.,Media,Content,Remote,Remote,Online,2 Months,12th Pass,Beginner,"writing, seo, content marketing",4000,English,"wordpress, google docs",content,2025-09-30
INT009,Full Stack Development Intern,StartupXYZ,Own end-to-end feature development on a fast-growing fintech product. React frontend + Django backend.,IT & Software,Full Stack,Gurgaon,Haryana,Hybrid,3 Months,UG,Intermediate,"react, django, python, postgresql",8500,English,"git, docker, aws","full stack, fintech",2025-08-10
INT010,Cybersecurity Intern,SecureNet India,Conduct vulnerability assessments and penetration testing. Write security reports.,IT & Software,Cybersecurity,Delhi,Delhi,Offline,2 Months,UG,Beginner,"linux, networking, python",6500,English,"kali linux, wireshark, nmap","cybersecurity, security",2025-09-05
INT011,Business Development Intern,GrowFast Ventures,Identify partnership opportunities and support sales pipeline management.,Business,Sales & BD,Mumbai,Maharashtra,Hybrid,2 Months,UG,Beginner,"excel, powerpoint, communication",4500,English,"crm, excel, powerpoint","business development, sales",2025-08-30
INT012,Research Intern,National Innovation Lab,Conduct literature surveys and assist in prototype development for IoT-based health monitoring systems.,Science & Technology,R&D,Bangalore,Karnataka,Offline,3 Months,UG,Beginner,"python, arduino, iot",5000,English,"python, arduino, matlab","iot, research",2025-09-20
INT013,Financial Analyst Intern,CapitalEdge Finance,Assist in financial modelling and valuation of mid-cap companies. Build Excel-based models.,Finance,Investment Banking,Mumbai,Maharashtra,Offline,2 Months,UG,Beginner,"excel, financial modelling, accounting",7000,English,"excel, bloomberg","finance, investment banking",2025-08-15
INT014,Mobile App Development Intern,AppWorks Studio,Develop cross-platform mobile features using React Native. Ship code reviewed by senior engineers.,IT & Software,Mobile Development,Hyderabad,Telangana,Online,2 Months,UG,Beginner,"react native, javascript, typescript",7500,English,"react native, git, figma",mobile development,2025-09-25
INT015,Supply Chain Analytics Intern,LogiTech India,Optimize warehouse routing and demand planning using Python and data analytics.,Operations,Supply Chain,Pune,Maharashtra,Hybrid,3 Months,UG,Beginner,"python, excel, sql",5500,English,"python, excel, tableau","supply chain, analytics",2025-09-01
INT016,NLP Engineer Intern,LinguaAI Labs,Build text classification and entity extraction pipelines. Work with transformers and spaCy.,IT & Software,NLP,Bangalore,Karnataka,Online,3 Months,UG,Intermediate,"python, nlp, transformers, pytorch",11000,English,"python, huggingface, spacy","nlp, ai",2025-08-20
INT017,Graphic Design Intern,BrandCraft Agency,Create social media creatives and brand assets for FMCG clients.,Design,Graphic Design,Jaipur,Rajasthan,Online,2 Months,12th Pass,Beginner,"photoshop, illustrator, canva",3500,Hindi,"adobe photoshop, illustrator, canva","design, branding",2025-10-01
INT018,HR & Operations Intern,PeopleFirst HR,Assist in recruitment operations — screening, scheduling, and onboarding coordination.,Human Resources,Recruitment,Chennai,Tamil Nadu,Hybrid,2 Months,UG,Beginner,"excel, communication, hr",3000,English,"excel, google workspace","hr, recruitment",2025-09-10
INT019,Embedded Systems Intern,HardwareLabs,Design firmware for STM32 microcontrollers. Work on real-time sensor data acquisition.,Engineering,Embedded Systems,Coimbatore,Tamil Nadu,Offline,3 Months,UG,Intermediate,"c, c++, embedded systems, rtos",6000,English,"stm32cubeide, keil, oscilloscope","embedded, hardware",2025-08-31
INT020,Product Management Intern,ProductStack,Define requirements, prioritize backlog, and coordinate between engineering and design for a B2C SaaS product.,IT & Software,Product Management,Bangalore,Karnataka,Hybrid,3 Months,UG,Beginner,"product thinking, excel, communication",6000,English,"jira, figma, notion","product management, saas",2025-09-15
INT021,Data Science Intern,InsightWorks,Build predictive models for customer churn and lifetime value. Present findings to leadership.,Analytics,Data Science,Noida,Uttar Pradesh,Online,3 Months,UG,Intermediate,"python, machine learning, sql, statistics",8000,English,"python, sklearn, sql","data science, ml",2025-08-25
INT022,Agricultural Tech Intern,AgroSmart India,Build crop recommendation system using soil data. Support rural farmer outreach.,Agriculture,AgriTech,Bhopal,Madhya Pradesh,Hybrid,2 Months,UG,Beginner,"python, data analysis, gis",4000,Hindi,"python, excel, qgis","agritech, rural",2025-09-30
INT023,Blockchain Development Intern,ChainWorks Labs,Develop smart contracts on Ethereum. Build DeFi protocol integrations.,IT & Software,Blockchain,Delhi,Delhi,Online,3 Months,UG,Intermediate,"solidity, ethereum, javascript, web3",9000,English,"hardhat, metamask, web3js","blockchain, web3",2025-09-01
INT024,Healthcare IT Intern,MediTech Solutions,Build EHR integrations and patient-facing health app features.,Healthcare,Health IT,Hyderabad,Telangana,Hybrid,2 Months,UG,Beginner,"python, sql, react",7000,English,"python, react, postgresql","healthcare, it",2025-08-20
INT025,E-commerce Operations Intern,ShopFast India,Manage product catalogue quality and vendor onboarding operations.,E-commerce,Operations,Mumbai,Maharashtra,Offline,2 Months,UG,Beginner,"excel, communication, sql",4500,English,"excel, crm, sql","e-commerce, operations",2025-09-15
INT026,Cloud Engineering Intern,NimbusTech,Architect and deploy cloud solutions on AWS. Implement serverless functions and S3 data pipelines.,IT & Software,Cloud Computing,Bangalore,Karnataka,Online,3 Months,UG,Intermediate,"aws, python, terraform, sql",10000,English,"aws, terraform, python","cloud, aws",2025-08-15
INT027,Video Editing Intern,Reelcraft Studios,Edit short-form video content for YouTube and Instagram. Motion graphics experience preferred.,Media,Video Production,Remote,Remote,Online,2 Months,12th Pass,Beginner,"premiere pro, after effects, capcut",3000,English,"adobe premiere, after effects","video, content creation",2025-10-15
INT028,Sustainability Intern,GreenPath Consulting,Map ESG practices and help companies measure carbon footprints. Build sustainability reports.,Consulting,ESG & Sustainability,Delhi,Delhi,Hybrid,2 Months,UG,Beginner,"excel, research, powerpoint",4000,English,"excel, powerpoint, notion","sustainability, esg",2025-09-20
INT029,Robotics Intern,RoboTech Labs,Develop navigation and perception modules for warehouse robots. Python + ROS2.,Engineering,Robotics,Pune,Maharashtra,Offline,3 Months,UG,Intermediate,"python, ros2, c++, computer vision",8000,English,"ros2, python, opencv","robotics, automation",2025-08-31
INT030,Social Impact Intern,NGO Impact Hub,Support data collection and impact measurement for rural education programs across 3 states.,NGO & Social,Education,Lucknow,Uttar Pradesh,Hybrid,2 Months,UG,Beginner,"excel, data collection, communication",2000,Hindi,"excel, google forms","ngo, social impact",2025-09-25
INT031,Quant Finance Intern,AlphaSignal Trading,Build backtesting frameworks and alpha signals using historical market data.,Finance,Quantitative Finance,Mumbai,Maharashtra,Offline,3 Months,UG,Intermediate,"python, statistics, sql, finance",12000,English,"python, pandas, bloomberg","quant, finance",2025-08-10
INT032,EdTech Product Intern,LearnSpark,Define roadmap for adaptive learning features. Work with data team on engagement analytics.,Education,EdTech,Bangalore,Karnataka,Online,2 Months,UG,Beginner,"product thinking, excel, sql",5000,English,"notion, jira, excel","edtech, product",2025-09-10
INT033,Computer Vision Intern,VisionAI,Build real-time object detection pipelines for surveillance cameras using YOLO.,IT & Software,Computer Vision,Hyderabad,Telangana,Hybrid,3 Months,UG,Intermediate,"python, opencv, pytorch, deep learning",10000,English,"pytorch, opencv, cuda","computer vision, deep learning",2025-08-25
INT034,Legal Tech Intern,LexAutomata,Automate contract clause extraction using NLP. Work with legal and engineering teams.,Legal,Legal Technology,Delhi,Delhi,Online,2 Months,UG,Beginner,"python, nlp, law basics",6000,English,"python, spacy, notion","legal tech, nlp",2025-09-05
INT035,Manufacturing Operations Intern,PrecisionMFG,Analyze production line data to reduce wastage and optimize OEE using Python.,Manufacturing,Industrial Engineering,Nashik,Maharashtra,Offline,3 Months,UG,Beginner,"python, excel, data analysis",5000,English,"python, excel, powerbi","manufacturing, operations",2025-09-15
INT036,Renewable Energy Intern,SolarGen India,Model solar energy output predictions using weather data. Support project feasibility reports.,Energy,Renewable Energy,Ahmedabad,Gujarat,Hybrid,2 Months,UG,Beginner,"python, excel, data analysis",5500,English,"python, excel, tableau","renewable energy, sustainability",2025-09-30
INT037,Travel Tech Intern,WanderAI,Build travel recommendation features using collaborative filtering. Python + React.,IT & Software,Travel Technology,Goa,Goa,Online,2 Months,UG,Beginner,"python, react, sql",7000,English,"python, react, postgresql","travel, recommendation systems",2025-08-30
INT038,Insurance Analytics Intern,PolicySmart,Build actuarial models for risk scoring. Analyze claims data to detect anomalies.,Finance,Insurance,Chennai,Tamil Nadu,Hybrid,2 Months,UG,Beginner,"python, statistics, excel",6500,English,"python, excel, tableau","insurance, analytics",2025-09-01
INT039,Sports Analytics Intern,SportIQ,Analyze player performance data using Python. Build dashboards for coaching teams.,Sports,Analytics,Delhi,Delhi,Online,2 Months,UG,Beginner,"python, data visualization, excel",5000,English,"python, plotly, excel","sports, analytics",2025-09-20
INT040,Government Tech Intern,GovTech Initiative,Support digitization of public services. Build data pipelines for citizen services portal.,Government,Public Sector,Delhi,Delhi,Offline,3 Months,UG,Beginner,"python, sql, excel",0,English,"python, sql, excel","government, civic tech",2025-10-01
INT041,Logistics Tech Intern,QuickDeliver,Optimize last-mile delivery routing using graph algorithms and geospatial data.,Operations,Logistics,Mumbai,Maharashtra,Hybrid,2 Months,UG,Intermediate,"python, algorithms, sql, gis",8000,English,"python, networkx, postgresql","logistics, optimization",2025-08-20
INT042,Mental Health Tech Intern,CalmPath,Build empathetic chatbot flows and content recommendation for mental wellness app.,Healthcare,Mental Health,Remote,Remote,Online,2 Months,UG,Beginner,"python, nlp, react",5500,English,"python, rasa, react","mental health, ai",2025-09-25
INT043,Smart City Intern,CityTech Labs,Work on IoT sensor data pipelines for traffic management and air quality monitoring.,Government,Smart Cities,Pune,Maharashtra,Offline,3 Months,UG,Intermediate,"python, iot, sql, data engineering",7000,English,"python, grafana, postgresql","smart city, iot",2025-09-10
INT044,Gaming Intern,PlayForge Studios,Develop game mechanics and UI in Unity. Write C# scripts for gameplay systems.,Entertainment,Game Development,Hyderabad,Telangana,Hybrid,2 Months,UG,Beginner,"unity, c#, game development",6000,English,"unity, visual studio, git","gaming, game dev",2025-08-31
INT045,Social Media Analytics Intern,BuzzMonitor,Build social media listening dashboards using Twitter/Instagram APIs and Python.,Marketing,Social Media,Bangalore,Karnataka,Online,2 Months,UG,Beginner,"python, api integration, sql",5000,English,"python, tweepy, tableau","social media, analytics",2025-09-05
INT046,Geospatial Analytics Intern,MapMetrics,Build geospatial data pipelines and interactive maps for agricultural land analysis.,Analytics,GIS,Chandigarh,Punjab,Online,3 Months,UG,Intermediate,"python, qgis, gis, sql",7000,English,"python, qgis, folium","gis, geospatial",2025-08-25
INT047,Biotech Data Intern,GenomicsLab,Process genomic datasets and build classification pipelines for disease prediction.,Science & Technology,Biotechnology,Hyderabad,Telangana,Hybrid,3 Months,UG,Intermediate,"python, bioinformatics, r, statistics",8000,English,"python, biopython, r","biotech, genomics",2025-09-15
INT048,Fashion Tech Intern,StyleAI,Build outfit recommendation engine using image embeddings and collaborative filtering.,E-commerce,Fashion Technology,Mumbai,Maharashtra,Online,2 Months,UG,Beginner,"python, machine learning, react",7500,English,"python, tensorflow, react","fashion, recommendation systems",2025-09-01
INT049,Rural Development Intern,GraminPath NGO,Digitize farmer land records and build mobile data collection tool for field officers.,NGO & Social,Rural Development,Varanasi,Uttar Pradesh,Offline,3 Months,UG,Beginner,"python, android, data collection",0,Hindi,"python, google forms, android studio","rural, ngo, social impact",2025-10-15
INT050,Fintech Intern,PayNow Solutions,Build payment gateway integrations and transaction anomaly detection using Python.,Finance,Fintech,Bangalore,Karnataka,Hybrid,3 Months,UG,Intermediate,"python, sql, api integration, machine learning",9000,English,"python, postgresql, stripe","fintech, payments",2025-08-15
